Player,Club,Pos,Price,Pts
A Aquilani,Liverpool,MID,3,0
A Arshavin,Arsenal,MID,7,69
A Baptiste,Blackpool,DEF,1,7
A Begovic,Stoke,GK,2.5,30
A Carroll,Newcastle,STR,2,84
A Cole,Chelsea,DEF,7,92
A Diaby,Arsenal,MID,3,13
A Diamanti,West Ham,STR,2,0
A Elmohamady,Sunderland,MID,2,9
A Faye,Stoke,DEF,2.5,11
A Ferdinand,Sunderland,DEF,1.5,22
A Gyan,Sunderland,STR,3,53
A Hleb,Birmingham,MID,2.5,29
A Hughes,Fulham,DEF,3,31
A Hutton,Tottenham,DEF,3.5,25
A Johnson,Fulham,STR,3,2
A Johnson,Man City,MID,4,59
A Kolarov,Man City,DEF,4,20
A Lennon,Tottenham,MID,5,26
A Meite,West Brom,DEF,1,2
A Ramsey,Arsenal,MID,2,0
A Reid,Sunderland,MID,2.5,4
A Smith,Newcastle,MID,1,2
A Song,Arsenal,MID,2.5,64
A Wilkinson,Stoke,DEF,1.5,17
A Young,Aston Villa,MID,5.5,70
Alex,Chelsea,DEF,5,44
Anderson,Man Utd,MID,3,14
B Assou-Ekotto,Tottenham,DEF,3,20
B Emerton,Blackburn,MID,2.5,22
B Ferguson,Birmingham,MID,2.5,45
B Foster,Birmingham,GK,3,58
B Friedel,Aston Villa,GK,4.5,30
B Hangeland,Fulham,DEF,3.5,54
B Ivanovic,Chelsea,DEF,4.5,77
B McCarthy,West Ham,STR,2,0
B Ormerod,Blackpool,STR,1,14
B Sagna,Arsenal,DEF,5,40
B Valero,West Brom,MID,1.5,0
B Zamora,Fulham,STR,4,28
B Zenden,Sunderland,MID,1.5,29
C Adam,Blackpool,MID,2.5,56
C Baird,Fulham,DEF,2,13
C Bellamy,Man City,MID,5.5,0
C Berra,Wolves,DEF,1.5,-3
C Brunt,West Brom,MID,2,50
C Cole,West Ham,STR,4,18
C Cuellar,Aston Villa,DEF,4,6
C Dempsey,Fulham,MID,4,69
C Fabregas,Arsenal,MID,8,72
C Gardner,Birmingham,MID,2,14
C Gordon,Sunderland,GK,2.5,13
C Jerome,Birmingham,STR,2,29
C Kirkland,Wigan,GK,2,-8
C Lee,Bolton,MID,2,35
C N'Zogbia,Wigan,MID,3,93
C Poulsen,Liverpool,MID,2.5,16
C Riveros,Sunderland,MID,1.5,1
C Salcido,Fulham,DEF,2.5,15
C Samba,Blackburn,DEF,3,49
C Tevez,Man City,STR,7,104
C Tiote,Newcastle,MID,2,18
C Vela,Arsenal,STR,2.5,19
D Agger,Liverpool,DEF,5,10
D Bent,Sunderland,STR,5,64
D Bentley,Tottenham,MID,3,-1
D Berbatov,Man Utd,STR,6,95
D Bilyaletdinov,Everton,MID,3,8
D Campbell,Blackpool,STR,1,21
D Campbell,Blackpool,STR,1,21
D Collins,Stoke,DEF,1.5,16
D Drogba,Chelsea,STR,9,76
D Duff,Fulham,MID,3.5,8
D Dunn,Blackburn,MID,3.5,19
D Etuhu,Fulham,MID,1.5,20
D Fletcher,Man Utd,MID,3,64
D Gabbidon,West Ham,DEF,1.5,17
D Gibson,Man Utd,MID,3,11
D Guthrie,Newcastle,MID,2,0
D Higginbotham,Stoke,DEF,2.5,13
D Kitson,Stoke,STR,1.5,0
D Kuyt,Liverpool,MID,5.5,42
D Murphy,Fulham,MID,3.5,27
D Ngog,Liverpool,STR,4.5,42
D Silva,Man City,MID,4,63
D Simpson,Newcastle,DEF,1,11
D Sturridge,Chelsea,STR,3,13
D Welbeck,Sunderland,STR,2,52
D Whitehead,Stoke,MID,2,30
Deco,Chelsea,MID,4,0
Denilson,Arsenal,MID,3,14
E Adebayor,Man City,STR,6.5,49
E Boyce,Wigan,DEF,2,18
E Eboue,Arsenal,MID,3,10
E Gudjohnsen,Stoke,STR,2,0
E Hadji Diouf,Blackburn,MID,2.5,22
E Heskey,Aston Villa,STR,3,35
E Insua,Liverpool,DEF,4.5,0
E Nevland,Fulham,STR,1.5,0
E van der Sar,Man Utd,GK,5.5,59
Eduardo,Arsenal,STR,3.5,0
F Aurelio,Liverpool,DEF,4.5,19
F Campbell,Sunderland,STR,2,0
F Coloccini,Newcastle,DEF,1.5,27
F Lampard,Chelsea,MID,9,17
F Malouda,Chelsea,MID,5.5,106
F Muamba,Bolton,MID,1,19
F Piquionne,West Ham,STR,2.5,42
F Torres,Liverpool,STR,8,53
G Agbonlahor,Aston Villa,STR,5.5,24
G Bale,Tottenham,DEF,5,122
G Barry,Man City,MID,4.5,34
G Cahill,Bolton,DEF,2.5,28
G Caldwell,Wigan,DEF,2,11
G Clichy,Arsenal,DEF,5,32
G Dorrans,West Brom,MID,2.5,16
G Elokobi,Wolves,DEF,1.5,-2
G Givet,Blackburn,DEF,2.5,30
G Jara,West Brom,DEF,1,2
G Johnson,Liverpool,DEF,5.5,33
G McCartney,Sunderland,DEF,1.5,0
G Neville,Man Utd,DEF,3.5,-4
G Steinsson,Bolton,DEF,1.5,5
G Tamas,West Brom,DEF,1.5,5
G Taylor-Fletcher,Blackpool,STR,1,23
G Whelan,Stoke,MID,2,19
G Zuiverloon,West Brom,DEF,1,16
H Ben Arfa,Newcastle,MID,2,10
H Gomes,Tottenham,GK,4.5,15
H Ilunga,West Ham,DEF,1.5,-9
H Rodallega,Wigan,STR,2.5,38
H Thomas,Wigan,MID,1.5,28
I Evatt,Blackpool,DEF,1,14
I Klasnic,Bolton,STR,1.5,15
J Barton,Newcastle,MID,2,38
J Beattie,Stoke,STR,1.5,0
J Beausejour,Birmingham,MID,2,10
J Beckford,Everton,STR,1.5,15
J Boateng,Man City,DEF,4,26
J Bosingwa,Chelsea,DEF,5.5,21
J Carew,Aston Villa,STR,5,6
J Carragher,Liverpool,DEF,6,60
J Cole,Liverpool,MID,4,29
J Collins,Aston Villa,DEF,4,28
J Collison,West Ham,MID,1.5,0
J Craddock,Wolves,DEF,2,6
J Defoe,Tottenham,STR,6.5,14
J Djourou,Arsenal,DEF,3.5,27
J Elmander,Bolton,STR,1.5,75
J Enrique,Newcastle,DEF,1.5,25
J Euell,Blackpool,MID,1,4
J Evans,Man Utd,DEF,4,9
J Faubert,West Ham,DEF,1.5,3
J Greening,Fulham,MID,2,9
J Gutierrez,Newcastle,MID,2,29
J Hart,Man City,GK,4,86
J Heitinga,Everton,MID,3,14
J Henderson,Sunderland,MID,1.5,51
J Hernandez,Man Utd,STR,3,51
J Jaaskelainen,Bolton,GK,1.5,20
J Jenas,Tottenham,MID,3,6
J Koumas,Wigan,MID,1.5,0
J Lescott,Man City,DEF,4.5,23
J Mascherano,Liverpool,MID,4.5,3
J Mattock,West Brom,DEF,1,0
J McCarthy,Wigan,MID,2,31
J McFadden,Birmingham,MID,2,16
J Mensah,Sunderland,DEF,1.5,9
J Milner,Man City,MID,5.5,47
J Obi Mikel,Chelsea,MID,3,43
J O'Hara,Tottenham,MID,3,0
J Olsson,West Brom,DEF,1.5,19
